epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4742,1.15488,2.7005,1.36581,0.00917,0.91667,0.13838,0.09757,0.56318,2.51099,1.08078,0.00012,0.00012,0.00012
2,17.142,0.57421,2.46938,1.02989,0.01,1,0.35621,0.26519,0.5514,2.43873,0.99232,0.000259265,0.000259265,0.000259265
3,23.6081,0.58031,2.14453,0.98759,0.00983,0.98333,0.37342,0.26971,0.60732,2.42492,1.09166,0.000397737,0.000397737,0.000397737
4,26.7924,0.55527,1.87759,0.95825,0.01,1,0.57718,0.45519,0.44234,2.39181,0.93736,0.000535418,0.000535418,0.000535418
5,30.0275,0.53192,1.47206,0.96943,0.00983,0.98333,0.7731,0.595,0.55249,2.38887,0.98256,0.000672306,0.000672306,0.000672306
6,33.3042,0.59621,1.20074,0.99137,0.01,1,0.83848,0.64939,0.61793,2.36993,1.06546,0.000808403,0.000808403,0.000808403
7,38.4104,0.58684,0.96469,0.98881,0.02318,0.88463,0.37853,0.31329,0.65975,2.33736,1.16199,0.000943707,0.000943707,0.000943707
8,42.0659,0.55663,0.86978,0.97993,0.55301,0.33333,0.43087,0.36199,0.6901,2.31991,1.16349,0.00107822,0.00107822,0.00107822
9,44.9528,0.58172,0.86359,0.98478,1,0.31256,0.72109,0.56118,0.7833,2.15379,1.10887,0.00121194,0.00121194,0.00121194
10,47.7394,0.57465,0.8327,0.97845,1,0.37264,0.7078,0.57512,0.696,2.21155,1.12026,0.00134487,0.00134487,0.00134487
11,51.02,0.55415,0.78955,0.97683,0.84916,0.2,0.59257,0.43712,0.83913,2.32954,1.16352,0.00147701,0.00147701,0.00147701
12,56.069,0.55957,0.72203,0.95596,0.65891,0.32209,0.48589,0.35453,1.21143,2.11817,1.57606,0.00160835,0.00160835,0.00160835
13,59.5567,0.56406,0.75012,0.953,0.9286,0.31667,0.55641,0.41929,1.20938,2.07851,1.56509,0.0017389,0.0017389,0.0017389
14,62.3933,0.56637,0.77161,0.97189,0.88657,0.51667,0.69099,0.5235,1.06901,1.91269,1.47424,0.00186866,0.00186866,0.00186866
15,65.4381,0.56572,0.72682,0.95983,0.71993,0.64271,0.66026,0.48385,1.13974,1.70043,1.54257,0.0019208,0.0019208,0.0019208
16,69.2147,0.63784,0.7873,1.02909,0.72937,0.44921,0.55311,0.35302,1.31867,1.62401,2.21056,0.00191514,0.00191514,0.00191514
17,73.4517,0.61369,0.79474,0.97435,0.60893,0.59693,0.53302,0.38471,1.18734,1.50758,1.67476,0.00190949,0.00190949,0.00190949
18,76.5477,0.58936,0.76993,0.96685,0.48017,0.58333,0.50171,0.3725,1.15939,1.52463,1.55546,0.00190383,0.00190383,0.00190383
19,79.5198,0.61337,0.77499,0.98513,0.73981,0.53333,0.63885,0.47181,1.06355,1.34993,1.5751,0.00189817,0.00189817,0.00189817
